[2025-01-22 03:41:24,071: INFO: main: Welcome to our custom log]
[2025-01-22 03:42:18,900: INFO: main: Welcome to our custom log]
[2025-01-22 10:03:02,986: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-01-22 10:03:02,994: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-22 10:03:02,997: INFO: common: created directory at: artifacts]
[2025-01-22 10:03:02,999: INFO: common: created directory at: artifacts/data_ingestion]
[2025-01-22 10:03:03,043: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-22 10:03:47,583: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-22 10:06:03,732: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-01-22 10:06:03,740: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-22 10:06:03,740: INFO: common: created directory at: artifacts]
[2025-01-22 10:06:03,746: INFO: common: created directory at: artifacts/data_ingestion]
[2025-01-22 10:06:03,748: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1XbXIR1ed3eURyGAV5c8-ciilZMfD96hb/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-22 10:06:40,181: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1XbXIR1ed3eURyGAV5c8-ciilZMfD96hb/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-22 10:49:40,691: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-01-22 10:49:40,694: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-01-22 10:49:40,696: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-22 10:49:40,696: INFO: common: created directory at: artifacts]
[2025-01-22 10:49:40,696: INFO: common: created directory at: artifacts/data_ingestion]
[2025-01-22 10:49:40,698: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1XbXIR1ed3eURyGAV5c8-ciilZMfD96hb/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-22 10:50:49,312: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1XbXIR1ed3eURyGAV5c8-ciilZMfD96hb/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-22 10:50:50,700: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
